Time,Error,Delta_Error,PID_Output_Power,Measured_Temperature,True_Temperature,Setpoint,Ambient_Temp
794,0.08917292591479153,0.5934768127455854,0.0,24.91082707408521,25.322308046488875,25,25
795,-0.39083453298913184,-0.4800074589039234,0.0,25.390834532989132,25.320700528400646,25,25
796,0.17067761878053034,0.5615121517696622,0.0,24.82932238121947,25.319101027842333,25,25
797,0.08474221789288094,-0.0859354008876494,0.0,24.91525778210712,25.317509504826333,25,25
798,-0.9449268832314175,-1.0296691011242984,0.0,25.944926883231417,25.315925919564492,25,25
799,-0.053204916006620806,0.8917219672247967,0.0,25.05320491600662,25.314350232467092,25,25
800,-0.40082038124809216,-0.34761546524147136,0.0,25.400820381248092,25.312782404141878,25,25
801,0.2899213787574375,0.6907417600055297,0.0,24.710078621242562,25.31122239539306,25,25
802,-0.5313100936631905,-0.821231472420628,0.0,25.53131009366319,25.309670167220336,25,25
803,-0.10410012317630546,0.427209970486885,0.0,25.104100123176305,25.30812568081792,25,25
804,-0.5428724602704129,-0.43877233709410746,0.0,25.542872460270413,25.306588897573572,25,25
805,-0.10778543644414285,0.43508702382627007,0.0,25.107785436444143,25.305059779067633,25,25
806,-0.810335955771663,-0.7025505193275201,0.0,25.810335955771663,25.303538287072058,25,25
807,-0.932722657439367,-0.12238670166770405,0.0,25.932722657439367,25.302024383549465,25,25
808,-0.611917978965657,0.32080467847370997,0.0,25.611917978965657,25.300518030652196,25,25
809,-0.27283954785827547,0.33907843110738156,0.0,25.272839547858275,25.299019190721342,25,25
810,0.7254969160986491,0.9983364639569245,0.0,24.27450308390135,25.297527826285833,25,25
811,0.15955755958577456,-0.5659393565128745,0.0,24.840442440414225,25.296043900061477,25,25
812,0.7638105650956888,0.6042530055099142,0.0,24.23618943490431,25.29456737495004,25,25
813,-1.2715932216701873,-2.035403786765876,0.0,26.271593221670187,25.29309821403832,25,25
814,-0.535440913871799,0.7361523077983883,0.0,25.5354409138718,25.291636380597215,25,25
815,-0.43734271687474546,0.09809819699705358,0.0,25.437342716874745,25.290181838080816,25,25
816,-0.1411113559530044,0.29623136092174107,0.0,25.141111355953004,25.288734550125483,25,25
817,0.00046781309516674696,0.14157916904817114,0.0,24.999532186904833,25.28729448054894,25,25
818,-0.24930642285421456,-0.2497742359493813,0.0,25.249306422854215,25.285861593349374,25,25
819,-0.27208678611192383,-0.02278036325770927,0.0,25.272086786111924,25.28443585270453,25,25
820,-0.4198483538032889,-0.14776156769136506,0.0,25.41984835380329,25.28301722297082,25,25
821,-0.358191391806038,0.0616569619972509,0.0,25.358191391806038,25.281605668682424,25,25
822,0.43112387008475395,0.7893152618907919,0.0,24.568876129915246,25.28020115455041,25,25
